"ID";"ID Imagen";"Personajes_ID";"Principal";"Gestos Centrales";"Gestos Mano Rostro";"Otros gestos";"Relaciones Corporales";"Sentimientos_ID";"Acciones_ID";"Atributos_ID";"Vestidos_ID";"Edades_ID";"Géneros_ID"
815;32;232;1;"De pie";"El rostro inclinado hacia abajo, la mirada abstraida, el gesto de tristeza. El hombre detrás de él tiene la cabeza ladeada a la izquierda, mira en frente a otro hombre y sonrie.";;"El hombre detrás de cristo lo agarra por los hombros.";66;79;1;21;2;3
816;43;232;1;;"La cabeza inclina da hacia laizquierda, la mirada se dirige hacia arriba abastraida, la boca entreabierta, el gesto de dolor. Las manos atadas a la altura de la boca del estómago, la mano izquierda sostiene una vara con retoños.";;"Ninguna";61;158;1;3;2;3
817;176;232;1;"Sentado";"La cabeza inclina da hacia la deracha, la mirada se dirige hacia abajo abastraida, el gesto de sufrimiento. Las manos atadas a la altura de la boca del estómago, la mano izquierda sostiene una vara o palo";;"Ninguna";61;158;1;3;2;3
818;224;232;1;"Sentado";"El rostro inclinado a la izquierda, mira con gesto de dolor al espectadore, la boca entreabierta. La mano izquierda señala con dos dedos al pecho, la mano derecha sostiene con dos dedos la vara.";;"Ninguna";61;158;1;3;2;3
819;349;232;1;"De pie";"El rostro ladeado a la derecha mira con tristeza el hombre que coloca la corona de espinas sobre la cabeza. Las manos atadas a la altura del estómago, en la mano derecha sostiene una caña.";"El hombre que está a la derecha de Jesús levanta la cabeza para mirar con atención la corona que está colocando sobre la cabeza de cristo con la mano derecha, la mano izquierda está al lado de su cuerpo gesto sobresaliente. Al lado izquierdo de cristo, un";"Ninguna";61;79;1;3;2;3
820;892;232;1;"De pie";"San Jose mira a la Virgen María,  extiende su mano derecha y la une con la derecha de la Virgen. Ella se recoge un pliege del vestido con la mano izquierda -el vestido cubre su vientre levemente-y mira al piso.";"Rey (?) mira a la pareja y sostiene la pipa con la mano derecha";"San José y María se toman de las manos";48;134;106;21;1;1
822;1988;232;1;"De pie";"El rostro mira fijamente al espectador con un gesto de severidad. Sus dos manos atadas a la altura de las caderas, en la derecha sostiene una vara de gran longitud.";;"Ninguna";61;158;1;3;2;3
823;1989;232;1;;"Los ojos miran hacia arriba en señal de éxtasis, ligeramente ladeada la cabeza a su derecha. Ambas manos atadas a la altura del pecho, con la derecha sostiene la vara.";;"Ninguna";61;158;1;3;2;3
824;1990;232;1;"De pie";"La cabeza ladeada a su derecha, fija sus ojos en el espectador, su gesto es de sufrimiento. Las manos atadas a la altura de las caderas, con la izquierda sostiene la vara.";;"Ninguna";61;158;1;3;2;3
825;2432;232;1;"Sentado";"La cabeza inclinada a su derecha, apoya el rostro sobre la mano derecha. Mira al espectador con gesto de tristeza. La mano izquierda yace apoyada sobre su pierna y sostiene una vara.";;"Ninguna";61;158;1;3;2;3
826;2771;232;1;"De pie";"El rostro ladeado a su derecha, los ojos miran hacia arriba en expresión de éxtasis. La manos atadas a la altura del estómago, sostiene la vara con la mano derecha.";;"Ninguna";61;158;1;3;2;3
827;3638;232;1;"De pie";"Angel de la guarda mira a su custodiado, lo toma de su brazoderecho con su mano izquierda y con la mano derecha apunta hacia el cielo.";"Custodiado mira a su angel de la guarda. Esta parado a su izquierda.";"Angel toma del brazo a su custodiado";162;71;1;21;5;3
828;4264;232;1;"De pie";"San Jose mira al piso, sostiene su vara con la mano izquierda. Ella mira al piso y  con la mano izquierda se recoge levemente un pliege del vestido sobre su estómago -colocado levemente cubriendo su vientre.";"Sacerdote coge ambas mano sderechas de Jose y Maria con sus manos y mira al espectador";"Sacerdote toma las manos de San José y María.";48;134;1;21;5;1
831;4757;232;1;"De pie";"Cristo niño mira al espectador, sostiene el orbe con la mano izquierda y la mano derecha la extiende hacia arriba mostrando la palma de la mano.";"San Ignacio esta arrodillado y tiene sus brazos sobre su pecho (mano izquierda sobre la derecha). San Francisco Javier esta arrodillado y observa a Cristo, extiende sus manos hacia los lados con las palmas hacia arriba.";"No";60;14;1;21;4;3
832;4828;232;1;;"El rostro ladeado a su izquierda, la mirada hacia arriba en gesto de éstasis, las manos cruzadas sobre el pecho, la mano derecha sostiene entre sus dedos una vara.";;"Ninguna";61;158;1;3;2;3
833;5266;232;1;;"El rostro inclinado a la izquierda, los brazos entrecurzados a la altura del estómago, amarrados.";"El soldado que está en un primer plano mira a Jesús, con su mano derecha sosntiene en alto la lanzam, con su mano izquierda sostiene el escudo. El soldado en un segundo plano parece mirar al espectador, su mano izquieda oculta, la derecha sostiene el escu";"Ninguna";98;158;1;3;2;3
834;5668;232;1;"Sentado";"Jesús mira hacia el piso donde se encuentra Maria Magdalena, se recuesta sobre su brazo izquierdo y levanta el brazo derecho hacia el frente a la altura de su cabeza.";"Maria Magdalena esta arrodillada a los pies de Jesús y con mabas manos le lava los pies. Los Apostoles hablan entre ellos o miran la escena.";"Maria Magdalena le lava los pies a Jesús.";144;126;1;21;2;3
841;40;232;1;"Caido";"Las manos atadas a la espalda, el rostro oculto por las sombras";"La mayoría  de los rostros de los ángeles y querubines miran a cristo con gesto de tristeza, algunos lloran. Otros querubines están ocupados recogiendo la sangre y carne de cristo. Un último se ocupa recogiendo las lágrimas de la Virgen. Dios mira de fren";"Ninguna";52;137;1;3;2;3
842;151;232;1;"Arrodillado";"Cristo levanta el rostro para mirara hacia arriba, el gesto es de serenidad y casi alegria; las manos a la altura del pecho juntas, en señal de oración.";"Los tres hombres tienen los ojos cerrados, duermen, dos de ellos con las manos ocultas, uno apoya su rostro en su mano izquierda y la derecha la tiene sobre el regazo.";"Ninguna";146;151;1;21;2;3
843;179;232;1;"De pie";"Voltea su rostro sobre su hombro derecho, los ojos miran hacia arriba, su gesto es de serenidad. Las manos cruzadas atadas a la altura del pecho";"El hombre frente a Jesus lo mira de perfil directamente, con las manos hace algo que no se distingue por la claridad de la imagen. En el hombre detrás de Jesús parece mirar abstraido un punto frente a Jesús.";"El hormbre frente a Jesús parece tocarlo.";146;39;1;21;2;3
844;185;232;1;"De pie";"El rostro inclinado levemente hacia arriba, los ojos miran al cielo, su gesto es de dolor. Los brazos extendidos a su derecha, las manos atadas.";;"Ninguna";146;137;1;3;2;3
845;350;232;1;"De pie";"Su rostro se ladea levente a su izquierda, el gesto grave, la mirada abstraida hacia el frente. Las manos abiertas a ambos lados del cuerpo.";"Pilatos señala con la mano derecha a Jesus mientras su mirada se dirige a algun punto detrás de él, su gesto es grave. El hombre en frente de Pilatos lo mira mientras vierte de una jarra agua sobre un plato. El hombre junto a Jesús parece mirar a Pilatos,";"Ninguna";197;38;1;3;2;3
846;358;232;1;"De pie";"El rostro inclinado levemente hacia abajo y a su derecha, mira al espectador con un gesto de tristeza. Las manos atadas a la columna.";;"Ninguna";146;137;1;3;2;3
847;367;232;1;"Sentado";"El rostro inclinado a la derecha, su mano derecha atada sostiene la vara, la mano izquierda reposa sobre el regazo debajo de su otra mano.";"El ángel que está en frente llora con gesto de dolor, los ojos cerrados, su mano derecha sostiene una tela a la altura del pecho, la izquierda lleva la tela a su rosto en señal de secar las lágrimas. El angel a los pies de cristo mira el rostro de peste, ";"Ninguna";61;158;1;3;2;3
850;406;232;1;;"Sus ojos entreabiertos miran al sielo, su gesto es de tristeza, las manos cruzadas a la altura del alto vientre están atadas .";;"Ninguna";146;48;1;21;2;3
