Categoría 4;Categoría 5
Anacoretas y eremitas;Pablo
Apóstoles;Andrés
Apóstoles;Bartolomé
Apóstoles;Conjunto
Apóstoles;Felipe
Apóstoles;Judas
Apóstoles;Matías
Apóstoles;Pablo
Apóstoles;Pedro
Apóstoles;Pedro y Pablo
Apóstoles;Santiago
Apóstoles;Simón
Apóstoles;Santiago Matamoros
Apóstoles;Tomás
Composición de milagros;Escenas grandes
Composición de milagros;Escenas varias
Composición de milagros;Escudos
Composición de milagros;Indígenas y donantes
Composición de milagros;Patronatos
Composición de milagros;Relatos de aparición
Composición de milagros;Con santos
Crucifixión;Calvario acompañado
Crucifixión;Crucificado
Crucifixión;Cristo Muerto
Crucifixión;Lanzada
Crucifixión;Levantamiento cruz
Crucifixión;Señor Temblores
Ecce homo;Caña sentado
Ecce homo;De pie
Ecce homo;Medio cuerpo
Ecce homo;Presentado
Escenas Sagrada Familia;Familia
Escenas Sagrada Familia;Cinco señores
Escenas Sagrada Familia;Familia y san Juan
Escenas Sagrada Familia;Sueño de Jesús
Escenas Sagrada Familia;Mesa
Escenas Sagrada Familia;Taller
Escenas Sagrada Familia;Varios
Evangelistas;Juan
Evangelistas;Lucas
Evangelistas;Marcos
Evangelistas;Mateo
Flagelación;Consuelo caído
Flagelación;Columna
Flagelación;Pedro arrepentido
Flagelación;Columna
Flagelación;Preso
Flagelación;Recogiendo vestiduras
Francisco de Asís;Apariciones y visiones
Francisco de Asís;Escenas de vida
Francisco de Asís;Estigmas
Francisco de Asís;Milagros y muerte
Francisco de Asís;Rostro atributos
Francisco de Asís;Series
Guadalupe sola;Ángeles
Guadalupe sola;Flores
Guadalupe sola;Materiales
Guadalupe sola;Sola
Guadalupe sola;Con inscripción
Ignacio de Loyola;Atributos
Ignacio de Loyola;Escenas
Ignacio de Loyola;Series
Inmaculada;Brazo cruzado
Inmaculada;Trinidad
Inmaculada;Trinidad y santos
Inmaculada;Inmaculada coronada
Inmaculada;Oración
Inmaculada;Pecho y brazo extendido
Inmaculada;Con santos
José;Sueño
José;José y niño
José;Muerte de José
José;Otras San José
José;Coronación de José
José;Patrocinio de José
Padres de la Iglesia;Agustín
Padres de la Iglesia;Ambrosio
Padres de la Iglesia;Anselmo
Padres de la Iglesia;Basilio Otros
Padres de la Iglesia;Buenaventura
Padres de la Iglesia;Gregorio
Padres de la Iglesia;Jerónimo
Rosa de Lima;Atributos
Rosa de Lima;Series
Rosa de Lima;Vida y mística
Teresa;Atributos
Teresa;Escenas
Teresa;Series
Teresa;Transverberación
Teresa;Visiones
Tota Pulcra;Coronada
Tota Pulcra;Tota con ángeles
Tota Pulcra;Tota con santos
Tota Pulcra;Donantes
Tota Pulcra;Con símbolos
