base;nombre;apellido
Mariano Carrillo;Mariano;Carrillo
Mariano Carrillo y Julián Jayo;Mariano y Julián;Carrillo y Jayo
Domingo Carro;Domingo;Carro
Luis de Carvajal;Luis de;Carvajal
Jacinto Carvajal;Jacinto;Carvajal
José Leandro de Carvalho;José Leandro de;Carvalho
Gregorio Carvallo de la Parra;Gregorio;Carvallo de la Parra
Diego de Casanova;Diego de;Casanova
Joaquín Castañón;Joaquín;Castañón
Joseph Castel;Joseph;Castel
Juan Castellanos;Juan;Castellanos
José del Castillo;José del;Castillo
Miguel del Castillo;Miguel del;Castillo
Gil de Castro;Gil de;Castro
Ignacio de Castro;Ignacio de;Castro
José Antonio Castro;José Antonio;Castro
George Catlin;George;Catlin
Cavalli;;Cavalli
Cavicchia;;Cavicchia
Bartolomé Alonso de Cazales;Bartolomé Alonso de;Cazales
Isauro Cervantes;Isauro;Cervantes
Ignacio Chacón;Ignacio;Chacón
Winthrop Chandler;Winthrop;Chandler
Chaves;;Chaves
José Pablo Chávez;José Pablo;Chávez
Nicolás Chávez de Villafuerte;Nicolás;Chávez de Villafuerte
Francisco Chihuantito;Francisco;Chihuantito
Pablo Chili Tupac;Pablo;Chili Tupac
Marcos Chillitupac Inca;Marcos;Chillitupac Inca
Manuel Thadeo Chirino;Manuel Thadeo;Chirino
Francisco Clapera;Francisco;Clapera
Hendrich de Clerk;Hendrich de;Clerk
Tomás de Cócar;Tomás de;Cócar
José Joaquín Codina;José Joaquín;Codina
Pieter de Coecke;Pieter de;Coecke
John Stevens Cogdell;John Stevens;Cogdell
Thomas Cole;Thomas;Cole
John Coles, Jr.;John;Coles
Louis Antoine Collas;Louis Antoine;Collas
Juan de la Concepción y Beraun Fray;Juan de la;Concepción y Beraun
Andrés de la Concha;Andrés de la;Concha
John Condé;John;Condé
Gaspar Conrado;Gaspar;Conrado
Plácido Constanzi;Plácido;Constanzi
William Contastable;William;Contastable
Miguel Rudecindo Contreras;Miguel Rudecindo;Contreras
Francisco Contreras;Francisco;Contreras
C. D. Cook;C. D.;Cook
John Singleton Copley;John Singleton;Copley
Thomas Coram;Thomas;Coram
Manuel de Córdova;Manuel de;Córdova
Michele Felice Cornè;Michele Felice;Cornè
Juan del Corral;Juan del;Corral
José Correa;José;Correa
Juan Correa;Juan;Correa
Luis Correa;Luis;Correa
Miguel Correa;Miguel;Correa
Nicolás Correa;Nicolás;Correa
Juan Correa, hijo;Juan;Correa, hijo
João Nepomuceno Correia e Castro;João Nepomuceno;Correia e Castro
Antonio y Nicolás Cortés;Antonio y Nicolás;Cortés
Francisco Javier Cortés;Francisco Javier;Cortés
Antonio Cortés;Antonio;Cortés
Francisco Cortés;Francisco;Cortés
Nicolás Cortés;Nicolás;Cortés
José Cortés de Alcocer;José;Cortés de Alcocer
Mariano Corvacho;Mariano;Corvacho
Aaron Haugthon Corwine;Aaron Haugthon;Corwine
Raimundo da Costa;Raimundo da;Costa
José da Costa Andrade;José da;Costa Andrade
Manoel da Costa Ataíde;Manoel da;Costa Ataíde
Caetano da Costa Coelho;Caetano da;Costa Coelho
Domingos da Costa Filgueiras;Domingos da;Costa Filgueiras
Olacido Costanzi;Olacido;Costanzi
Francis Cotes;Francis;Cotes
John James Crawley;John James;Crawley
Hernando de la Cruz;Hernando de la;Cruz
Manuel de la Cruz;Manuel de la;Cruz
Manuel Cruz;Manuel;Cruz
Nicolás Cruz;Nicolás;Cruz
Francisco Javier de Cuenca;Francisco Javier de;Cuenca
Diego de Cuentas;Diego de;Cuentas
Thomas Seir Cummings;Thomas Seir;Cummings
Manuel da Cunha;Manuel da;Cunha
Diego Cusi Guamán;Diego;Cusi Guamán
Laurent Dabos;Laurent;Dabos
George Dame;George;Dame
Juan Bautista Daniel;Juan Bautista;Daniel
T. Davies;T.;Davies
Laureano Dávila;Laureano;Dávila
Thomas Day;Thomas;Day
Jean Baptiste Debret;Jean Baptiste;Debret
Agustín Del Pino;Agustín Del;Pino
Del Rio;;Del Rio
Denison Limner;Limner;Denison
William Dering;William;Dering
Arthur Devis;Arthur;Devis
Manoel Dias de Oliveira;Manoel;Dias de Oliveira
Pedro José Díaz;Pedro José;Díaz
José Díaz;José;Díaz
Pedro Díaz;Pedro;Díaz
Anson Dickinson;Anson;Dickinson
Daniel Dickinson;Daniel;Dickinson
Christian Dittrich;Christian;Dittrich
Pío Domínguez del Castillo;Pío;Domínguez del Castillo
Diego Domínguez Sanabria;Diego;Domínguez Sanabria
Thomas Doughty;Thomas;Doughty
William M. S. Doyle;William M. S.;Doyle
Francis Martin Drexel;Francis Martin;Drexel
Juan Dualte;Juan;Dualte
Nicholas-Francois Dun;Nicholas-Francois;Dun
Joseph Dunkerley;Joseph;Dunkerley
William Dunlap;William;Dunlap
Juan Duns Scoto;Juan;Duns Scoto
Joseph Siffred Duplessis;Joseph Siffred;Duplessis
John Durand;John;Durand
John Waldo Durant;John Waldo;Durant
Ambrose Duval;Ambrose;Duval
Gerardus Duyckinck I;Gerardus I;Duyckinck
